Headline,keyword,post date,"""","""","""",""""
"""","""","""","""","""","""",""""
The FBI translator who went rogue and married an ISIS terrorist @CNNPolitics http://cnn.it/2oQN3hl? She needs to hang for her crime #maga,20170502,-1,"FBI,ISIS",2,"""",""""
Obama's FBI translator fell in love with the ISIS terrorist she was supposed to be investigating! ,20170504,0,"FBI,ISIS",2,"""",""""
Love always unites especially when it comes to America and the terrorist groups #ISIS #FBI #TrueLove #IslamicRomance,20170502,1,"FBI,ISIS",2,"""",""""
This is just too strange - A FBI translator ends up marrying a #ISIS terrorist in Syria. She returns and only gets a 2 year jail sentence? ,20170502,-1,"FBI,ISIS",2,"""",""""
ISIS is CIA Why would the FBI investigate the CIA? More CNN bullshit!,20170502,-1,"FBI,ISIS",2,"""",""""
This FBI agent that married an ISIS fighter served two years. TWO YEARS. People get longer than that for selling weed.,20170502,-1,"FBI,ISIS",2,"""",""""
"""My mom's FBI and my dad's ISIS, so I buy my C4 from the US embassy.""",20170502,-1,"FBI,ISIS",2,"""",""""
Not just vulnerable Muslim teens became ISIS brides: Lonely FBI agent living spiritually vacuous western..,20170502,-1,"FBI,ISIS",2,"""",""""
Liberal FBI agent turned ISIS sympathizer only receives 2 years for aiding a terrorist,20170502,-1,"FBI,ISIS",2,"""",""""
Love is brought to the \Caliphate\: the FBI woman was married to militants of ISIS,20170502,-1,"FBI,ISIS",2,"""",""""
"""","""","""","""","""","""",""""
If they don't do it we will march on Washington and shut it down until trump resigns or he gets arrested,20170509,-1,"march, washington",3,"""",""""
"Bigger impact? Leonardo DiCaprio Attends Climate Change March in Washington, ",20170502,0,"march, washington",3,"""",""""
Me photographing me photographing the May Day march down Constitution Ave in Washington DC¡¦,20170502,0,"march, washington",3,"""",""""
"So when's the march on Washington & various states? Does this fucking country even care? Lawd, another blk family grieving",20170502,-1,"march, washington",3,"""",""""
"There was a small March out of Washington Square around 2pm. Not sure where they went, didn't see them at Union Square later.",20170502,0,"march, washington",3,"""",""""
massive march on Washington to inform these ppl that they are fired ,20170502,-1,"march, washington",3,"""",""""
When is the next March on Washington? Let's do this,20170509,1,"march, washington",3,"""",""""
ABSOLUTELY We all need to be on fire with a rage. People get ready to fucking march on Washington by the millions,20170509,0,"march, washington",3,"""",""""
"Liberals have 1 choice. March on Washington with torches & pitchforks and DEMAND an independent investigation, or watch America die. Choose",20170509,-1,"march, washington",3,"""",""""
I think its time we march on washington til this ryan is thrown out .we can do it.,20170502,1,"march, washington",3,"""",""""
"""","""","""","""","""","""",""""
Trump is dumb if he thinks having South Korea pay for a missile defense system is in US interest. ,20170508,-1,"korea,missile defense",4,"""",""""
Don't look like South Korea too happy about that missile defense system... ,20170502,-1,"korea,missile defense",4,"""",""""
"Next time North Korea does a missile test, South Korea should test its missile defense systems. ",20170502,0,"korea,missile defense",4,"""",""""
why are you wimping out & forcing US taxpayers to be stuck paying for antiAmerican South Korea's missile defense?,20170502,0,"korea,missile defense",4,"""",""""
I agree! I also don't understand why we are paying for a missile defense system for South Korea? ,20170502,1,"korea,missile defense",4,"""",""""
McMaster contradicts @realDonaldTrump saying U.S. wont pay for S.Korea missile-defense system. Concerning Trump hasnt a clue whats going on,20170430,-1,"korea,missile defense",4,"""",""""
South Korea Rejects Trump¡¯s Demand To Pay For US Missile Defense -,20170430,0,"korea,missile defense",4,"""",""""
Why's it outrageous for Trump to ask S. Korea to pay for missile defense of their territory? Or is criticism reflexive b/c of Trump hatred?,20170501,0,"korea,missile defense",4,"""",""""
"Being willing to go to N. Korea isn't such a bad thing, but opposing missile defense is not good at all!",20170512,-1,"korea,missile defense",4,"""",""""
Sending Our THAAD Missile defense system to South Korea sounds like a good move to me. Ty President Trump,20170512,1,"korea,missile defense",4,"""",""""
"""","""","""","""","""","""",""""
Dam just noticed my international flight is on United Airlines ... ????????,20170502,-1,United airlines,5,"""",""""
"United airlines: we are sorry for the inconvenience but we overbooked, the first person to get off will be compensated up to $10,000 ",20170412,0,United airlines,5,"""",""""
Why TF is anyone looking into the 'history' of the bloke mistreated by United Airlines? It's irrelevant. Utterly inappropriate journalism. ,20170411,-1,United airlines,5,"""",""""
So I will never be flying United #UnitedAirlines #UnitedAirlinesAssault,20170411,-1,United airlines,5,"""",""""
"""If we cannot beat our competitors, we beat our customers."" -United Airlines, 2017",20170411,-1,United airlines,5,"""",""""
We will v eat your face so bad you can use it for a flotation device,20170411,-1,United airlines,5,"""",""""
United Airlines: We put the UFC back in United First Class. ,20170411,0,United airlines,5,"""",""""
Never fly with United Airlines,20170411,-1,United airlines,5,"""",""""
Im crying in the parking lot of Popeyes I Hate United Airlines with a damn passion Im so Hurt ,20170411,-1,United airlines,5,"""",""""
"Shame on you. How sad, what you did to this man is so wrong on every level. You lost my business",20170411,-1,United airlines,5,"""",""""
"""","""","""","""","""","""",""""
"Donald Trump is not the cause, he is the symptom of our broken political system. This was not a Republican victory but a bipartisan failure.",20170121,-1,Trump,6,"""",""""
Then Trump should be arrested for calling for Hillary's assassination. Among doManny other things. It's only time. ,20170121,-1,Trump,6,"""",""""
"Have a hard time taking seriously folks scared to death of power of Trump in govt when they shrugged at Obama ""elections have consequences.""",20170121,-1,Trump,6,"""",""""
Trump is one of the biggest narcissists I have ever seen. Note to America: Not the best quality to have in a President. #picturesdontlie,20170121,-1,Trump,6,"""",""""
Trump supporters finding out they have no healthcare now thanks to the man they voted for ,20170121,0,Trump,6,"""",""""
Let's ignore these liers!This is our day and they want to steal it from us by a stupid trial to lead the narrative!#Trump and his trumpets,20170121,-1,Trump,6,"""",""""
"From @mitchellreports: Brennan ""saddened and angered"" over Trump visit to CIA today.",20170122,-1,Trump,6,"""",""""
I don't understand what people want to achieve by arguing Trump's inauguration is smaller than Obama's? He's still the President.,20170122,0,Trump,6,"""",""""
supporting trump is okay. not supporting trump is also okay. what is not okay is ridiculing and harassing people for their political views.,20170122,0,Trump,6,"""",""""
Trump isn't my president.,20170126,-1,Trump,6,"""",""""
"""","""","""","""","""","""",""""
Me too! Maybe this election in France will be the turning point against nationalism?,20170507,1,_,7,"""",""""
Congrats to Macron! Glad France took something from the epic mess in America- if Russia backs you- you're probably the wrong answer,20170507,1,_,7,"""",""""
Vive la France! #EnMarche ,20170507,1,_,7,"""",""""
At least French got it right. ..score one for humanity,20170507,1,_,7,"""",""""
Congratulations Macron,20170507,1,_,7,"""",""""
Thank God!! These people didn't get taken by a really really bad used car salesman. Look at those crowds in FRANCE,20170507,1,_,7,"""",""""
Excellent victory for a better France,20170507,1,_,7,"""",""""
Yeah for freedom! If only America had been this lucky....,20170507,1,_,7,"""",""""
"Congratulations France - defeat for Putin's united international faschists - unlike Poland, Hungary, Turkey, US...",20170507,1,_,7,"""",""""
"Most importantly, that it's all Obama's fault and the Russians and Wikileaks did a lousy job this time. Wait for that twitting shit storm",20170507,0,_,7,"""",""""
"""","""","""","""","""","""",""""
The #pope must be crazy. Impossible it will never work. From this point on if it only get worse.,20170428,-1,_,8,"""",""""
"I was brought up Catholic - am an atheist now - but reading the Bible, isn't that what he's supposed to be?",20170428,0,_,8,"""",""""
"There can be no unity between Muslims and Christians because Islam denies the deity of our Savior, the Lord Jesus Christ, the Son of God.",20170428,-1,_,8,"""",""""
Great Pope,20170428,1,_,8,"""",""""
The only world leader with a meaningful message: help your brothers and sisters and stop listening to the demagogues and violent,20170428,1,_,8,"""",""""
"Which god is he referring to ? There are a couple thousand religions, each with its own God or gods.",20170428,0,_,8,"""",""""
Now that would be a miracle. We want all religions from God to unite. 1 God 1 religion,20170428,1,_,8,"""",""""
"All we need is Peace, in the name of ALLAH.",20170428,1,_,8,"""",""""
"Too bad the people you r talking to could give 2 shits about what you have to say,you are the devil according to them so good luck with that",20170428,-1,_,8,"""",""""
"Its been 3000 years, its not going to happen.",20170428,0,_,8,"""",""""
"""","""","""","""","""","""",""""
yeah but did he hit a game winner and break the Triple Double record,20170409,1,_,9,"""",""""
"Good for him, hope my mans not still saying racist things tho.",20170409,1,_,9,"""",""""
Aww your twin won.,20170409,1,_,9,"""",""""
Congratulations!,20170409,1,_,9,"""",""""
Congrats to you #SergioGarcia a fitting win on this special day. Happy for you.,20170409,1,_,9,"""",""""
Sergio Garcia finally did it! I hope Tiger Woods was watching,20170409,1,_,9,"""",""""
"Great Win Sergio , Seve was on your shoulders , you earned so happy for you entire Medico Family.",20170409,1,_,9,"""",""""
"Congrats, Sergio! You've worked hard for this honor ",20170409,1,_,9,"""",""""
He still trash,20170409,-1,_,9,"""",""""
yeah but did he hit a game winner and break the Triple Double record,20170409,1,_,9,"""",""""
"""","""","""","""","""","""",""""
Thank goodness for science. Scientists will always continue to learn,20170405,1,_,10,"""",""""
Maybe I will see a mental illness cured before I die. Science is the best thing humanity has going for it.,20170405,1,_,10,"""",""""
"Interesting, research paid for by DeNiro and Robert Kennedy shows that vaccinations with stem cells cause autism...",20170405,0,_,10,"""",""""
"Brilliant, let's all hope that it proves to be effective!!",20170405,1,_,10,"""",""""
God I pray to you give these smart professionals the knowledge & skills to find cure or at least improvement for this disease,20170405,1,_,10,"""",""""
"If your kid has autism and you're in the religious right and against stem cell research, what do?",20170405,0,_,10,"""",""""
Sounds promising.,20170405,1,_,10,"""",""""
"Remember when stem cell use was a controversial issue? And now we have so many more, much worse issues to worry about",20170405,0,_,10,"""",""""
Wait. Let me ask Jesus for permission first.,20170405,0,_,10,"""",""""
"Oh my God, this is so hopeful!",20170406,1,_,10,"""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
"""","""","""","""","""","""",""""
